,Site (district),Net irrigated area,Cotton,Wheat,Rice,Report Year,Province,Area Units,Yield Units
0,Jabbor Rasulov,8360.9,3.63,6.11,4.43,2013,Sogd,ha,t/ha
1,Spitamen,11237.5,2.74,5.63,4.7,2013,Sogd,ha,t/ha
2,B.Ghafurov,24025.1,2.61,5.96,4.54,2013,Sogd,ha,t/ha
3,Konibodom,15327.7,2.91,5.76,3.55,2013,Sogd,ha,t/ha
4,Istaravshan,2907.5,2.65,6.14,3.38,2013,Sogd,ha,t/ha
5,Zafarobod,17657.4,2.74,4.1,2.64,2013,Sogd,ha,t/ha
6,Isfara,6968.4,2.79,4.64,1.62,2013,Sogd,ha,t/ha
7,Panjakent,4065.9,4.28,5.21,1.74,2013,Sogd,ha,t/ha
8,Ghonchi,161.7,2.4,3.91,0,2013,Sogd,ha,t/ha
9,Mastchoh,21248.5,2.16,3.82,3.82,2013,Sogd,ha,t/ha
10,Asht,10566.7,2.69,4.12,1.99,2013,Sogd,ha,t/ha
11,Zafarobod,17657.4,2.25,4.45,2.15,2014,Sogd,ha,t/ha
12,Jabbor Rasulov,8360.9,3.6,6.5,4.71,2014,Sogd,ha,t/ha
13,Konibodom,15327.7,2.8,6.15,4.56,2014,Sogd,ha,t/ha
14,Spitamen,11237.5,2.37,5.48,5.33,2014,Sogd,ha,t/ha
15,B.Ghafurov,24025.1,2.89,5.85,4.87,2014,Sogd,ha,t/ha
16,Mastchoh,21248.5,1.93,2.43,4.15,2014,Sogd,ha,t/ha
17,Panjakent,4065.9,4.24,6.01,2.81,2014,Sogd,ha,t/ha
18,Isfara,6968.4,3.26,5.45,1.33,2014,Sogd,ha,t/ha
19,Asht,10566.7,2.73,0,2.7,2014,Sogd,ha,t/ha
20,Ghonchi,161.7,0,3.87,0,2014,Sogd,ha,t/ha
21,Istaravshan,2907.5,2.12,4.43,0,2014,Sogd,ha,t/ha
22,Zafarobod,17657.4,2.8,5.46,2.12,2015,Sogd,ha,t/ha
23,B.Ghafurov,24025.1,2.73,6.2,5.23,2015,Sogd,ha,t/ha
24,Konibodom,15327.7,3.23,8.42,4.19,2015,Sogd,ha,t/ha
25,Istaravshan,2907.5,2.15,5.45,1.74,2015,Sogd,ha,t/ha
26,Spitamen,11237.5,2.43,5.35,4.85,2015,Sogd,ha,t/ha
27,Isfara,6968.4,3.1,5.94,1.62,2015,Sogd,ha,t/ha
28,Jabbor Rasulov,8360.9,3.61,6.6,4.55,2015,Sogd,ha,t/ha
29,Ghonchi,161.7,0,4.57,1.3,2015,Sogd,ha,t/ha
30,Asht,10566.7,2.8,0,2.89,2015,Sogd,ha,t/ha
31,Panjakent,4065.9,3.97,6.01,2.1,2015,Sogd,ha,t/ha
32,Mastchoh,21248.5,2.08,2.82,4.04,2015,Sogd,ha,t/ha
33,Mastchoh,21248.5,2.56,4.31,4.52,2016,Sogd,ha,t/ha
34,Zafarobod,17657.4,3.07,5.97,2.85,2016,Sogd,ha,t/ha
35,Panjakent,4065.9,3.95,6.29,2.17,2016,Sogd,ha,t/ha
36,Jabbor Rasulov,8360.9,4.02,6.56,4.42,2016,Sogd,ha,t/ha
37,B.Ghafurov,24025.1,2.5,6.61,3.9,2016,Sogd,ha,t/ha
38,Istaravshan,2907.5,1.88,6.97,1.44,2016,Sogd,ha,t/ha
39,Konibodom,15327.7,4.04,7.58,2.65,2016,Sogd,ha,t/ha
40,Spitamen,11237.5,2.52,6,4.37,2016,Sogd,ha,t/ha
41,Isfara,6968.4,3.05,6.25,2.06,2016,Sogd,ha,t/ha
42,Ghonchi,161.7,0,5.76,1,2016,Sogd,ha,t/ha
43,Asht,10566.7,3.17,5.1,2.2,2016,Sogd,ha,t/ha
44,Zafarobod,17657.4,2.05,4.85,2.67,2017,Sogd,ha,t/ha
45,Jabbor Rasulov,8360.9,3.41,5.97,4.68,2017,Sogd,ha,t/ha
46,Spitamen,11237.5,2.15,4.68,4.35,2017,Sogd,ha,t/ha
47,Istaravshan,2907.5,1.97,5.99,2.13,2017,Sogd,ha,t/ha
48,Konibodom,15327.7,3.49,5.99,3.09,2017,Sogd,ha,t/ha
49,B.Ghafurov,24025.1,2.56,5.72,4.3,2017,Sogd,ha,t/ha
50,Mastchoh,21248.5,1.76,3.39,3.83,2017,Sogd,ha,t/ha
51,Isfara,6968.4,3.09,6.67,1.75,2017,Sogd,ha,t/ha
52,Asht,10566.7,2.46,2.07,1.56,2017,Sogd,ha,t/ha
53,Panjakent,4065.9,4.56,6.16,3.5,2017,Sogd,ha,t/ha
54,Ghonchi,161.7,0,4.1,0,2017,Sogd,ha,t/ha
55,Isfara,6968.4,3.46,6.43,2.53,2018,Sogd,ha,t/ha
56,Jabbor Rasulov,8360.9,3.22,4.19,4.61,2018,Sogd,ha,t/ha
57,Asht,10566.7,2.19,7.14,2.78,2018,Sogd,ha,t/ha
58,Konibodom,15327.7,2.06,6.57,2.62,2018,Sogd,ha,t/ha
59,Zafarobod,17657.4,2.14,5.41,2.25,2018,Sogd,ha,t/ha
60,Spitamen,11237.5,2.62,4.82,4.76,2018,Sogd,ha,t/ha
61,B.Ghafurov,24025.1,2.13,4.84,3.82,2018,Sogd,ha,t/ha
62,Mastchoh,21248.5,1.97,2.09,3.85,2018,Sogd,ha,t/ha
63,Istaravshan,2907.5,1.23,0,0,2018,Sogd,ha,t/ha
64,Ghonchi,161.7,0,0,0,2018,Sogd,ha,t/ha
65,Panjakent,4065.9,4.82,4.9,3.65,2018,Sogd,ha,t/ha
